ピアノ,芥川竜之介
青鬼の褌を洗う女,坂口安吾
寒山拾得,芥川竜之介
春の心臓,イエイツ ウィリアム バトラー
黄金風景,太宰治
赤い蝋燭と人魚,小川未明
六羽の白鳥,グリム ヤーコプ ルートヴィッヒ カール　グリム ヴィルヘルム カール
或旧友へ送る手記,芥川竜之介
ストリップ修学旅行,小野佐世男
馬の脚,芥川竜之介
私の経過した学生時代,夏目漱石
影,芥川竜之介
「菊池寛全集」の序,芥川竜之介
探偵夜話,岡本綺堂
半七捕物帳 02 石灯籠,岡本綺堂
半七捕物帳 05 お化け師匠,岡本綺堂
世界怪談名作集 15 幽霊,モーパッサン ギ ド
弟子,中島敦
大日本帝国憲法,日本国
トカトントン,太宰治
美少女,太宰治
兄貴のような心持 ——菊池寛氏の印象——,芥川竜之介
ありときのこ,宮沢賢治
田舎者,太宰治
琴のそら音,夏目漱石
海のほとり,芥川竜之介
高野聖,泉鏡花 泉鏡太郎
